return_id,order_id,return_date,reason,refund_amount
85,283939,2025-06-05,Defective,9.91
86,195996,2023-02-12,Defective,26.79
87,112779,2025-04-12,Changed Mind,32.67
88,76728,2023-01-10,Changed Mind,52.73
89,21436,2024-06-12,Defective,68.41
90,17469,2023-05-03,Changed Mind,62.81
91,225674,2023-01-26,Defective,157.5
92,79760,2023-10-04,Changed Mind,23.95
93,257600,2024-03-22,Changed Mind,4.84
94,270721,2023-10-02,Size Issue,117.84
95,153802,2025-04-03,Size Issue,98.46
96,92267,2024-04-27,Other,16.19
97,207330,2023-07-31,Other,9.52
98,243956,2023-07-09,Other,28.2
99,288929,2024-09-29,Late Delivery,33.27
100,186601,2024-04-24,Late Delivery,40.7
101,48006,2023-02-05,Other,57.76
102,212521,2025-06-15,Wrong Item,36.74
103,294076,2023-05-14,Changed Mind,77.82
104,131576,2023-02-18,Other,36.15
105,202058,2023-05-17,Defective,27.26
106,239161,2023-11-19,Changed Mind,129.25
107,92612,2023-10-26,Other,11.86
108,268352,2023-01-03,Late Delivery,5.13
109,259110,2023-02-12,Size Issue,259.54
110,265329,2023-05-26,Wrong Item,13.01
111,229145,2023-03-02,Changed Mind,20.79
112,261303,2025-05-08,Defective,10.76
113,84118,2023-10-08,Defective,118.23
114,31190,2024-05-27,Size Issue,29.74
115,107255,2023-12-15,Late Delivery,6.12
116,192799,2025-03-14,Late Delivery,12.19
117,28084,2023-09-14,Changed Mind,31.04
118,118790,2025-06-08,Changed Mind,4.31
119,2153,2024-09-08,Late Delivery,56.96
120,287027,2025-03-26,Defective,178.78
121,249170,2024-05-08,Size Issue,34.09
122,137540,2024-04-16,Wrong Item,24.5
123,46292,2023-07-18,Wrong Item,120.02
124,30234,2024-03-03,Defective,26.71
125,175146,2023-08-27,Size Issue,103.54
126,50677,2025-04-03,Size Issue,22.95
127,71571,2023-06-10,Changed Mind,17.95
128,219844,2023-10-30,Late Delivery,10.77
129,36280,2024-07-17,Changed Mind,55.41
130,66053,2023-01-30,Wrong Item,26.03
131,252610,2023-01-20,Changed Mind,12.32
132,24784,2025-02-15,Late Delivery,90.84
133,299328,2025-05-12,Size Issue,70.43
134,95350,2023-01-21,Size Issue,66.48
135,46333,2023-07-12,Defective,27.71
136,91241,2025-04-25,Changed Mind,5.14
137,5446,2024-06-27,Late Delivery,89.71
138,272877,2023-11-05,Late Delivery,30.97
139,43812,2024-10-16,Late Delivery,22.91
140,217083,2023-02-10,Defective,10.47
141,100371,2025-01-16,Wrong Item,40.14
142,258875,2024-08-04,Defective,119.11
143,121950,2023-11-17,Size Issue,22.96
144,212951,2024-06-06,Other,51.66
145,200058,2023-01-01,Size Issue,43.72
146,229178,2025-05-13,Changed Mind,108.71
147,287839,2023-01-22,Late Delivery,8.03
148,213119,2023-09-27,Late Delivery,943.31
149,176476,2024-02-14,Wrong Item,11.99
150,118177,2024-02-07,Size Issue,292.43
151,209025,2023-08-21,Size Issue,60.41
152,221907,2025-04-30,Changed Mind,27.76
153,42494,2023-05-06,Changed Mind,77.35
154,223729,2024-05-07,Size Issue,10.55
155,141994,2024-02-08,Size Issue,108.25
156,55676,2023-07-21,Other,36.81
157,224088,2024-01-01,Late Delivery,93.57
158,83656,2024-11-27,Defective,101.57
159,61918,2024-11-06,Late Delivery,11.99
160,153666,2025-08-20,Changed Mind,66.03
161,155759,2024-09-28,Late Delivery,20.03
162,190394,2025-08-19,Defective,51.37
163,231051,2023-05-14,Changed Mind,55.85
164,201123,2025-05-26,Late Delivery,71.12
165,59268,2025-01-29,Size Issue,29.75
166,262488,2024-08-08,Changed Mind,24.37
167,188583,2025-06-12,Changed Mind,187.76
168,131815,2023-03-09,Size Issue,64.43
169,73950,2023-09-08,Late Delivery,15.93
170,154309,2025-08-13,Size Issue,35.29
171,167195,2024-07-07,Defective,33.47
172,277394,2025-08-12,Defective,16.08
173,196836,2025-07-01,Defective,36.33
174,91691,2023-06-30,Size Issue,181.02
175,162087,2024-05-28,Late Delivery,350.69
176,231059,2023-08-19,Defective,268.67
177,54121,2025-03-02,Changed Mind,29.3
178,247859,2025-05-26,Size Issue,31.77
179,98093,2025-01-14,Wrong Item,115.82
180,271916,2025-04-09,Changed Mind,105.17
181,44678,2023-03-19,Changed Mind,12.0
182,56079,2024-07-24,Size Issue,15.86
183,129376,2023-06-25,Defective,25.61
184,133362,2024-02-08,Size Issue,259.99
185,85867,2025-01-11,Changed Mind,31.35
186,191560,2024-10-02,Late Delivery,63.33
187,218729,2023-09-27,Size Issue,16.95
188,208772,2025-04-21,Other,43.63
189,109196,2024-06-30,Late Delivery,22.5
190,39550,2025-07-30,Size Issue,40.21
191,169829,2024-03-31,Changed Mind,40.93
192,57417,2024-03-22,Size Issue,291.38
193,33194,2023-03-03,Defective,181.66
194,173866,2023-04-22,Size Issue,67.92
195,50920,2025-04-07,Late Delivery,182.87
196,108505,2024-10-07,Other,11.35
197,72964,2023-09-10,Late Delivery,14.79
198,270713,2023-04-14,Size Issue,128.23
199,63505,2024-04-20,Defective,94.84
200,26897,2024-04-05,Defective,39.92
201,261153,2023-08-31,Defective,67.56
202,8839,2023-07-25,Changed Mind,34.95
203,16065,2023-07-17,Wrong Item,31.62
204,107662,2023-10-02,Defective,45.76
205,130162,2024-08-22,Size Issue,26.16
206,179574,2023-12-01,Other,45.41
207,116122,2024-02-10,Wrong Item,142.06
208,32235,2025-05-19,Defective,29.89
209,191737,2024-08-20,Changed Mind,30.53
210,57457,2024-08-28,Wrong Item,26.4
211,160503,2024-08-23,Defective,4.76
212,215796,2024-12-31,Changed Mind,10.18
213,126715,2024-11-25,Late Delivery,117.14
214,173048,2023-11-30,Size Issue,39.79
215,97727,2023-08-27,Changed Mind,31.06
216,193812,2023-02-03,Late Delivery,60.22
217,17157,2024-02-21,Defective,21.05
218,71056,2023-08-02,Changed Mind,54.63
219,193991,2024-07-26,Other,35.63
220,52060,2024-07-20,Wrong Item,158.31
221,274758,2025-08-22,Size Issue,33.89
222,1559,2025-07-05,Other,132.1
223,253082,2024-10-07,Late Delivery,48.58
224,181910,2023-10-04,Size Issue,16.55
225,145270,2025-01-29,Defective,42.14
226,186661,2024-12-16,Size Issue,211.44
227,6480,2023-03-18,Size Issue,485.54
228,249415,2025-05-28,Changed Mind,32.01
229,43183,2023-12-10,Defective,9.51
230,248530,2024-02-22,Defective,11.46
231,125725,2023-12-22,Size Issue,70.24
232,214269,2023-12-26,Size Issue,74.67
233,270768,2023-04-04,Late Delivery,23.77
234,141104,2024-05-10,Wrong Item,50.87
235,292204,2023-08-17,Size Issue,55.72
236,62009,2023-05-23,Late Delivery,1.76
237,89123,2025-06-30,Changed Mind,54.36
238,47737,2025-01-09,Defective,14.61
239,222506,2025-02-22,Defective,14.52
240,29629,2025-07-09,Defective,97.11
241,202217,2024-09-14,Late Delivery,32.46
242,194829,2024-03-14,Other,192.27
243,18650,2025-01-10,Defective,188.45
244,199021,2023-06-24,Size Issue,67.35
245,111555,2023-02-19,Size Issue,52.2
246,244688,2025-01-27,Changed Mind,22.27
247,230920,2025-01-25,Defective,18.06
248,42398,2025-07-28,Wrong Item,79.78
249,221947,2024-12-09,Late Delivery,32.44
250,168391,2024-12-24,Wrong Item,63.01
251,175577,2023-12-16,Late Delivery,50.99
252,153542,2023-01-10,Size Issue,146.89
253,74056,2023-06-10,Wrong Item,121.96
254,233829,2023-11-30,Late Delivery,230.35
255,131313,2024-11-04,Defective,91.92
256,224155,2023-09-18,Late Delivery,47.71
257,266744,2024-12-07,Defective,7.94
258,15595,2023-07-23,Late Delivery,17.72
259,227420,2025-03-17,Defective,115.21
260,115532,2023-11-19,Size Issue,24.53
261,12283,2023-07-31,Defective,24.56
262,21848,2024-01-07,Changed Mind,39.3
263,86773,2023-08-29,Size Issue,75.27
264,193140,2024-01-13,Late Delivery,59.91
265,100473,2025-04-08,Changed Mind,29.67
266,177775,2024-05-29,Other,53.18
267,224463,2023-10-29,Changed Mind,41.72
268,255021,2023-10-14,Size Issue,233.49
269,140853,2024-02-17,Late Delivery,39.45
270,6485,2025-01-18,Changed Mind,149.02
271,97192,2023-01-14,Defective,4.63
272,218797,2025-05-27,Changed Mind,59.85
273,146935,2024-10-25,Size Issue,11.87
274,183991,2024-08-28,Late Delivery,2.03
275,150348,2023-09-06,Late Delivery,37.42
276,291296,2023-12-09,Changed Mind,81.27
277,175532,2023-03-20,Size Issue,179.39
278,80285,2024-05-07,Changed Mind,41.31
279,64298,2024-03-26,Late Delivery,13.59
280,221588,2023-06-30,Wrong Item,53.72
281,145985,2025-05-09,Defective,101.49
282,266814,2025-01-09,Changed Mind,121.33
283,53726,2024-11-19,Changed Mind,6.5
284,171138,2023-07-25,Late Delivery,17.28
285,212765,2025-03-09,Wrong Item,65.17
286,30684,2024-11-07,Wrong Item,19.09
287,204087,2024-07-17,Defective,145.65
288,78595,2025-01-25,Size Issue,194.35
289,162788,2025-04-02,Other,254.35
290,212280,2024-03-30,Other,91.88
291,33142,2025-03-10,Late Delivery,61.89
292,13871,2025-03-16,Changed Mind,53.95
293,205832,2024-11-03,Late Delivery,11.34
294,285807,2023-10-16,Wrong Item,14.22
295,13821,2025-04-18,Wrong Item,26.81
296,198919,2023-06-05,Late Delivery,211.78
297,165990,2024-09-03,Defective,33.55
298,81378,2024-08-03,Changed Mind,57.09
299,149868,2025-05-25,Wrong Item,17.32
300,192120,2023-08-18,Size Issue,24.71
301,180211,2024-10-14,Changed Mind,42.1
302,147052,2024-12-03,Late Delivery,33.82
303,127639,2025-07-26,Changed Mind,8.15
304,291868,2025-06-21,Changed Mind,11.66
305,178583,2023-02-27,Wrong Item,14.25
306,127545,2024-03-01,Size Issue,34.94
307,235718,2024-06-03,Changed Mind,18.11
308,171724,2025-04-06,Other,140.67
309,161575,2023-09-27,Size Issue,152.4
310,75410,2024-07-26,Size Issue,75.22
311,90036,2025-01-15,Size Issue,117.67
312,42841,2023-03-14,Late Delivery,717.4
313,8582,2023-06-30,Wrong Item,35.35
314,13665,2025-07-21,Wrong Item,37.34
315,247465,2023-06-29,Changed Mind,242.65
316,96425,2025-06-11,Changed Mind,72.97
317,194899,2024-11-09,Defective,57.18
318,283533,2025-06-11,Late Delivery,31.16
319,69532,2023-05-15,Other,184.5
320,237885,2023-11-27,Other,126.83
321,261894,2024-12-22,Defective,37.39
322,150377,2023-08-01,Defective,58.36
323,182444,2025-06-05,Defective,126.19
324,224407,2023-06-20,Defective,407.05
325,171333,2023-02-20,Wrong Item,10.73
326,140443,2024-10-31,Wrong Item,31.55
327,154940,2024-11-08,Defective,33.81
328,131260,2025-05-06,Defective,44.75
329,162294,2024-09-27,Wrong Item,5.39
330,292710,2024-03-27,Changed Mind,23.71
331,264846,2023-10-19,Defective,15.18
332,166132,2024-04-26,Defective,13.82
333,132329,2024-04-14,Defective,11.25
334,208064,2023-10-06,Defective,23.16
335,48323,2023-01-26,Wrong Item,271.4
336,16625,2024-08-19,Size Issue,48.2
337,4735,2023-07-06,Late Delivery,5.85
338,189591,2024-07-20,Changed Mind,13.94
339,101740,2025-07-18,Size Issue,26.32
340,111001,2023-10-14,Size Issue,175.31
341,198445,2024-06-19,Size Issue,14.19
342,16639,2025-07-06,Defective,28.2
343,55639,2024-06-13,Late Delivery,213.72
344,258789,2023-05-31,Late Delivery,10.52
345,238821,2024-08-30,Size Issue,34.96
346,115604,2024-01-05,Late Delivery,17.35
347,246940,2023-07-04,Changed Mind,44.09
348,191531,2025-08-05,Changed Mind,48.63
349,11214,2023-07-17,Wrong Item,3.66
350,27389,2024-08-04,Defective,19.72
351,229062,2025-02-11,Defective,26.08
352,251978,2024-05-28,Size Issue,12.7
353,23367,2025-04-13,Late Delivery,178.52
354,10058,2024-04-29,Late Delivery,17.12
355,112594,2024-06-24,Other,58.04
356,268566,2024-12-10,Defective,55.49
357,157456,2023-05-28,Defective,23.28
358,59188,2024-07-14,Defective,171.72
359,70373,2025-01-18,Defective,32.24
360,126008,2024-01-28,Size Issue,80.1
361,197381,2024-06-11,Defective,35.02
362,271739,2024-03-02,Changed Mind,84.35
363,194636,2023-03-31,Changed Mind,39.43
364,165243,2024-09-09,Defective,22.64
365,47839,2025-04-05,Late Delivery,198.77
366,29772,2025-05-23,Defective,77.26
367,257200,2023-11-20,Late Delivery,39.83
368,61815,2024-09-29,Changed Mind,84.49
369,208349,2025-01-02,Changed Mind,62.05
370,191266,2023-08-21,Late Delivery,88.36
371,2158,2023-02-11,Changed Mind,35.54
372,188785,2023-11-24,Late Delivery,201.89
373,95788,2024-06-07,Size Issue,75.11
374,238437,2024-06-15,Size Issue,129.74
375,239164,2025-06-28,Defective,12.0
376,295073,2023-11-28,Other,15.01
377,104339,2023-10-03,Late Delivery,51.22
378,291608,2024-05-10,Defective,48.37
379,21709,2023-02-17,Wrong Item,42.1
380,143150,2023-08-19,Size Issue,35.75
381,137149,2025-05-29,Changed Mind,93.82
382,78781,2023-09-06,Changed Mind,152.57
383,92537,2025-02-07,Changed Mind,148.01
384,271295,2024-09-03,Wrong Item,158.94
385,79848,2023-07-15,Late Delivery,22.19
386,274307,2024-08-06,Other,3.78
387,153715,2023-08-16,Size Issue,132.02
388,117115,2024-02-26,Size Issue,314.41
389,295581,2024-05-27,Defective,23.49
390,153342,2024-10-31,Other,25.05
391,242232,2024-08-30,Late Delivery,5.71
392,17421,2023-01-03,Changed Mind,65.97
393,52377,2025-03-05,Defective,46.67
394,71441,2023-07-10,Late Delivery,42.77
395,254001,2024-12-01,Wrong Item,24.64
396,199109,2024-03-10,Late Delivery,690.44
397,146465,2024-09-29,Changed Mind,17.0
398,154058,2023-12-15,Wrong Item,30.87
399,276395,2024-12-30,Changed Mind,37.69
400,106503,2024-02-19,Defective,6.89
401,84375,2025-06-29,Size Issue,57.02
402,253181,2025-06-08,Defective,222.04
403,236366,2024-03-01,Size Issue,20.29
404,182280,2025-06-27,Defective,27.77
405,221110,2025-02-20,Changed Mind,58.69
406,289707,2024-06-21,Other,46.95
407,291439,2024-09-02,Wrong Item,4.8
408,71067,2023-08-15,Late Delivery,28.07
409,122790,2023-03-01,Changed Mind,4.85
410,194911,2023-03-04,Wrong Item,241.74
411,145392,2023-07-29,Other,18.3
412,199165,2024-05-26,Changed Mind,110.31
413,266383,2024-08-26,Wrong Item,14.08
414,271415,2025-06-28,Size Issue,27.85
415,167802,2025-02-11,Wrong Item,84.47
416,61372,2025-03-11,Defective,79.43
417,228791,2023-09-08,Late Delivery,20.89
418,290879,2025-08-11,Size Issue,22.92
419,144981,2023-06-27,Other,28.45
420,119484,2024-12-19,Size Issue,9.04
421,18605,2024-09-03,Size Issue,9.05
422,138394,2024-03-23,Late Delivery,56.22
423,83164,2025-03-23,Changed Mind,56.89
424,77728,2023-02-23,Late Delivery,21.95
425,224929,2024-08-11,Other,11.11
426,28597,2024-05-15,Size Issue,31.56
427,157997,2023-06-05,Changed Mind,65.19
428,108955,2023-09-02,Size Issue,119.38
429,200858,2023-08-17,Other,6.33
430,72174,2024-01-24,Late Delivery,121.01
431,106184,2023-03-25,Defective,16.59
432,12329,2023-08-14,Changed Mind,18.07
433,264482,2024-09-07,Changed Mind,30.2
434,96135,2025-07-18,Late Delivery,11.82
435,129426,2023-07-28,Late Delivery,29.5
436,80442,2025-04-16,Wrong Item,16.86
437,260523,2023-02-28,Size Issue,19.06
438,72155,2023-01-22,Size Issue,44.63
439,93235,2023-05-24,Wrong Item,16.14
440,58503,2025-01-27,Size Issue,2.85
441,277309,2024-04-06,Late Delivery,23.05
442,151010,2023-02-10,Size Issue,47.25
443,90764,2025-07-01,Late Delivery,8.29
444,275586,2024-12-10,Late Delivery,9.77
445,77425,2024-03-27,Defective,7.51
446,50948,2023-09-14,Wrong Item,24.06
447,86004,2023-08-02,Late Delivery,24.7
448,202927,2024-07-06,Defective,82.97
449,52895,2024-03-04,Wrong Item,24.32
450,152520,2023-10-23,Late Delivery,84.68
451,145899,2023-01-14,Other,54.98
452,133628,2024-06-14,Defective,6.33
453,113026,2024-05-30,Size Issue,35.88
454,216656,2023-08-20,Other,38.67
455,173879,2023-07-16,Wrong Item,44.29
456,73955,2023-11-12,Defective,24.11
457,257398,2025-07-01,Size Issue,8.95
458,103664,2025-06-16,Wrong Item,202.23
459,281911,2024-09-12,Late Delivery,119.05
460,104080,2025-05-05,Late Delivery,53.36
461,83564,2023-01-11,Wrong Item,81.2
462,28437,2024-11-23,Defective,29.07
463,206396,2023-01-27,Other,13.12
464,239721,2025-07-12,Size Issue,453.71
465,35660,2023-02-13,Late Delivery,106.01
466,267857,2023-09-03,Size Issue,63.08
467,25954,2023-09-20,Wrong Item,83.83
468,108844,2024-03-24,Late Delivery,43.39
469,50566,2023-07-30,Changed Mind,39.44
470,241575,2024-01-07,Wrong Item,20.49
471,214652,2023-11-04,Other,17.69
472,14905,2024-01-04,Size Issue,59.01
473,142218,2025-01-11,Size Issue,104.04
474,53742,2024-05-21,Late Delivery,3.77
475,17918,2023-01-04,Defective,10.08
476,46528,2023-11-03,Other,16.73
477,254259,2023-03-26,Changed Mind,79.51
478,117733,2023-02-18,Wrong Item,46.49
479,84722,2024-04-01,Size Issue,142.85
480,283230,2024-04-23,Wrong Item,46.07
481,174502,2024-05-08,Wrong Item,8.78
482,122945,2024-01-07,Other,133.57
483,1935,2024-10-17,Size Issue,19.38
484,275794,2025-07-06,Size Issue,55.86
485,123229,2024-04-21,Defective,9.27
486,24601,2025-07-17,Late Delivery,40.52
487,230992,2023-05-11,Defective,70.8
488,56773,2023-01-29,Late Delivery,39.04
489,147504,2023-11-05,Late Delivery,11.48
490,85742,2023-03-03,Other,11.73
491,69717,2023-04-13,Changed Mind,95.75
492,264261,2025-05-03,Changed Mind,181.21
493,65738,2024-09-08,Changed Mind,80.45
494,99255,2025-07-18,Defective,1656.07
495,223412,2024-12-19,Size Issue,8.29
496,116647,2024-03-06,Size Issue,58.38
497,75955,2023-06-08,Other,36.9
498,125532,2023-10-27,Changed Mind,102.08
499,236313,2025-05-14,Size Issue,18.73
500,76949,2024-05-26,Defective,77.08
501,145528,2024-10-14,Late Delivery,264.71
502,164480,2024-08-14,Defective,46.68
503,282479,2023-10-25,Wrong Item,39.33
504,110105,2024-06-10,Late Delivery,6.78
505,276717,2025-05-26,Wrong Item,202.23
506,21143,2023-08-10,Defective,49.67
507,151239,2025-03-20,Size Issue,250.77
508,286034,2024-12-20,Size Issue,8.63
509,94010,2025-06-04,Wrong Item,14.15
510,109339,2024-08-28,Changed Mind,83.82
511,148929,2023-09-06,Defective,4.8
512,286039,2023-08-02,Wrong Item,58.29
513,29164,2025-07-07,Wrong Item,204.99
514,202368,2023-02-02,Size Issue,7.58
515,37814,2024-02-04,Size Issue,43.06
516,55175,2023-08-20,Size Issue,7.2
517,113508,2024-09-04,Wrong Item,107.69
518,200333,2024-01-24,Size Issue,101.48
519,273191,2024-11-24,Late Delivery,16.16
520,242355,2025-01-06,Changed Mind,82.81
521,93316,2024-01-29,Changed Mind,21.94
522,265464,2023-07-26,Size Issue,111.43
523,290433,2025-03-12,Defective,42.63
524,237128,2025-06-29,Changed Mind,11.19
525,92372,2023-05-26,Size Issue,14.62
526,32068,2024-08-29,Late Delivery,24.47
527,153032,2023-10-07,Size Issue,28.95
528,211607,2023-09-04,Size Issue,27.02
529,224440,2023-09-26,Late Delivery,15.56
530,12784,2024-07-13,Changed Mind,50.36
531,281292,2023-01-24,Defective,19.72
532,281985,2023-04-05,Late Delivery,10.11
533,265610,2023-07-29,Changed Mind,44.35
534,230595,2023-07-29,Size Issue,93.54
535,22982,2024-10-29,Size Issue,43.72
536,68320,2024-07-08,Defective,50.38
537,11284,2024-02-07,Defective,63.8
538,32855,2024-02-12,Late Delivery,4.67
539,190654,2025-06-13,Wrong Item,6.45
540,154923,2024-11-25,Changed Mind,16.27
541,197082,2024-04-24,Changed Mind,23.11
542,128026,2024-03-07,Late Delivery,87.72
543,91678,2025-02-10,Defective,23.3
544,136088,2024-07-24,Late Delivery,55.81
545,182706,2023-03-04,Defective,17.16
546,279388,2024-06-22,Late Delivery,75.44
547,4957,2024-09-01,Other,32.7
548,157146,2023-08-04,Changed Mind,79.33
549,48689,2024-02-04,Changed Mind,41.99
550,249115,2023-04-21,Late Delivery,5.91
551,56227,2024-07-06,Size Issue,20.93
552,36313,2023-12-06,Changed Mind,23.57
553,105699,2023-04-07,Changed Mind,56.5
554,229008,2024-07-03,Changed Mind,114.85
555,176856,2024-05-31,Size Issue,70.28
556,22355,2024-07-10,Changed Mind,111.89
557,207971,2023-02-19,Late Delivery,16.44
558,297215,2024-10-07,Size Issue,122.21
559,135512,2025-01-07,Size Issue,63.04
560,260470,2023-10-09,Size Issue,9.07
561,293209,2024-10-13,Size Issue,45.04
562,134762,2024-05-29,Defective,12.25
563,272313,2023-01-07,Defective,124.06
564,145390,2023-07-13,Defective,16.06
565,32198,2023-10-25,Late Delivery,60.65
566,186085,2025-01-11,Changed Mind,27.2
567,271388,2023-01-24,Size Issue,16.14
568,132996,2024-03-06,Changed Mind,108.98
569,192596,2023-02-27,Wrong Item,22.21
570,290211,2023-10-17,Size Issue,81.27
571,83444,2024-09-30,Other,42.37
572,124861,2025-02-22,Changed Mind,15.85
573,7706,2023-09-27,Size Issue,8.86
574,260423,2024-03-18,Wrong Item,28.07
575,181744,2023-08-20,Changed Mind,439.95
576,290213,2023-01-30,Defective,84.72
577,9062,2024-01-13,Wrong Item,54.37
578,21023,2023-02-15,Size Issue,21.1
579,292037,2023-06-06,Size Issue,32.21
580,205025,2025-03-16,Changed Mind,54.66
581,255240,2025-05-04,Wrong Item,49.31
582,55357,2024-03-02,Defective,82.93
583,40149,2023-02-03,Size Issue,118.8
584,262339,2025-02-13,Defective,117.85
585,157873,2023-08-01,Changed Mind,44.39
586,4087,2024-08-04,Size Issue,18.89
587,1709,2023-03-01,Other,49.09
588,199519,2025-06-01,Size Issue,7.97
589,278816,2023-03-29,Changed Mind,151.17
590,295019,2024-01-26,Wrong Item,9.68
591,118981,2024-10-21,Other,31.91
592,122443,2025-01-29,Wrong Item,11.17
593,247467,2024-02-24,Late Delivery,61.1
594,253411,2025-02-21,Late Delivery,17.31
595,238890,2024-01-08,Size Issue,23.05
596,196665,2025-01-25,Size Issue,62.96
597,290465,2025-05-11,Other,15.45
598,193964,2025-07-10,Defective,56.0
599,7876,2025-08-05,Wrong Item,141.28
600,98709,2025-04-19,Defective,46.02
601,119111,2025-07-03,Wrong Item,28.11
602,138009,2023-09-01,Defective,19.63
603,12952,2023-07-10,Size Issue,150.42
604,192498,2024-10-26,Other,30.16
605,163409,2023-04-23,Late Delivery,33.27
606,261641,2024-12-19,Defective,79.0
607,6870,2025-02-16,Defective,55.11
608,165581,2025-07-23,Defective,9.51
609,136768,2025-07-08,Changed Mind,103.51
610,225732,2024-04-23,Size Issue,9.04
611,3023,2025-03-24,Defective,66.72
612,196077,2025-04-08,Size Issue,77.78
613,234588,2025-04-03,Size Issue,77.04
614,66310,2025-06-09,Size Issue,36.11
615,57975,2025-08-12,Late Delivery,148.65
616,140098,2025-05-21,Size Issue,116.14
617,32337,2024-10-05,Other,57.76
618,60784,2024-09-11,Late Delivery,58.79
619,230911,2023-02-02,Late Delivery,33.85
620,26787,2025-04-08,Changed Mind,32.84
621,138069,2024-11-18,Wrong Item,104.88
622,180765,2025-01-28,Size Issue,108.84
623,219327,2025-03-13,Defective,11.46
624,231867,2023-10-28,Changed Mind,51.41
625,67829,2023-04-06,Changed Mind,22.84
626,204207,2023-02-07,Defective,18.29
627,37391,2023-01-28,Late Delivery,15.25
628,37187,2025-04-14,Wrong Item,4.06
629,84335,2023-01-11,Defective,35.1
630,71284,2024-01-20,Size Issue,3.41
631,148430,2024-01-16,Wrong Item,32.46
632,7615,2023-05-03,Defective,76.0
633,140257,2024-02-26,Wrong Item,58.34
634,41176,2023-12-15,Changed Mind,143.06
635,204659,2025-07-21,Wrong Item,55.0
636,255,2024-01-30,Wrong Item,95.91
637,291740,2024-02-29,Size Issue,59.1
638,78121,2023-01-09,Wrong Item,67.51
639,243906,2025-08-16,Defective,7.35
